datetime,"ТП 2199/1 - ГРЩ/Б (Науки, 63)","ТП 2199/1 - ГРЩ/Г (Науки, 63)","ТП 2199/2 - ГРЩ/А (Науки, 63)","ТП 2199/2 - ГРЩ/Д (Науки, 63)",ТП 2199/1 - К 1115/Б,ТП 2199/2 - К 1115/А,ТП 2199/1 - К 1318/Б,ТП 2199/2 - К 1318/А,ТП 2199/2 - К 1319/А,ТП 2199/1 - К 1319/Б,ТП 2199/1 - К 1166/А,ТП 2199/2 - Р 630/А
2020-01-07 4:30:00,0.12659488,1.516212799999999,0.0,0.0,3.2048155349999994,0.0,0.000183375,0.041053995,0.041053995,0.06608834999999999,0.03146831999999999,0.25135951999999995
2020-01-07 5:00:00,0.12399056000000001,1.6702087999999997,0.0,0.0,3.051807435,0.0,0.00024939,0.04672395000000001,0.04672395000000001,0.07399548,0.03175039999999999,0.28680320000000004
2020-01-07 5:30:00,0.13750415999999993,1.5343380799999993,0.0,0.0,3.1566979349999995,0.0,0.00024939,0.043635915,0.043635915,0.06839887500000003,0.03060896,0.3355111999999999
2020-01-07 6:00:00,0.0938408,1.4821991999999997,0.0,0.0,3.6586759950000007,0.0,0.00024939,0.03875813999999999,0.03875813999999999,0.07083409499999999,0.03004479999999999,0.23167295999999996
2020-01-07 6:30:00,0.13269567999999998,1.4692956799999997,0.0,0.0,3.2730530399999993,0.0,0.000183375,0.050054039999999994,0.050054039999999994,0.064291275,0.02976272,0.2943143999999999
2020-01-07 7:00:00,0.15077504,1.5885827200000002,0.0,0.0,3.166174755000001,0.0,0.00024939,0.04337919,0.04337919,0.074824335,0.03060896,0.24451087999999996
2020-01-07 7:30:00,0.12660799999999994,1.588208799999999,0.0,0.0,3.2730823799999995,0.0,0.00024939,0.042814395000000005,0.042814395000000005,0.08791731,0.030891039999999995,0.2895649599999999
2020-01-07 8:00:00,0.13920976000000002,1.8974799999999998,0.0,0.0,4.282847820000001,0.0,0.000183375,0.05625211499999999,0.05625211499999999,0.11185875,0.03146831999999999,0.33669199999999994
2020-01-07 8:30:00,0.13152799999999998,2.24533712,0.0,0.0,5.338662389999999,0.0,0.00024939,0.042146909999999996,0.042146909999999996,0.08410311,0.032071840000000004,0.33957183999999996
2020-01-07 9:00:00,0.17405647999999999,2.0443911999999993,0.0,0.0,6.406242300000001,0.0,0.00024939,0.04560902999999998,0.04560902999999998,0.116017695,0.03146831999999999,0.4662913599999999
2020-01-07 9:30:00,0.14658319999999997,2.7970855999999986,0.0,0.0,6.892626149999999,0.0,0.00024939,0.05689759500000001,0.05689759500000001,0.12305196,0.03663103999999999,0.4376963199999998
2020-01-07 10:00:00,0.22225935999999993,2.9424092799999984,0.0,0.0,7.3685943,0.0,0.00047677500000000003,0.039975750000000004,0.039975750000000004,0.14518165500000005,0.03412511999999998,0.40542111999999986
2020-01-07 10:30:00,0.22320399999999993,2.862449439999999,0.0,0.0,8.509729590000001,0.0,0.0015036750000000003,0.04122270000000001,0.04122270000000001,0.20668562999999998,0.03385615999999998,0.5771815999999999
2020-01-07 11:00:00,0.40536208,3.4395523199999998,0.0,0.0,8.980915319999998,0.0,0.008875349999999999,0.04342319999999998,0.04342319999999998,0.15081493499999996,0.03146831999999999,0.7393447999999999
