branch_id,node_start,node_end,name,type,bg_num
bb796d80-7489-4c3a-959d-3017ee34a87d,bfee4876-b819-4d33-868e-6c46f74300d3,11b6d36d-63b0-4aaf-8434-28d854d66361,"ул Карпинского, д. 16 литера А",ConsumerBuilding,3
8552fd31-109a-4889-9922-71ce77307438,df2dea8f-abbb-4ea9-bdb0-71e34451034a,3a1ca402-ad9c-4349-801f-1a1f80e49b76,ТП 2199/1 - К 1166/А,ACLineSegment,4
098b769d-c1f4-415b-98c6-e78f6752403c,3a1ca402-ad9c-4349-801f-1a1f80e49b76,e2cbf405-8e20-4166-bffe-ca33e9d9a8e1,,Link,4
01c6533e-3e1d-4aed-b8c4-865bab1f4368,e2cbf405-8e20-4166-bffe-ca33e9d9a8e1,26a6338a-221b-41a9-8e08-dd5010b6c3e3,,Link,4
f0085181-a0fe-4d79-b433-f93500434264,26a6338a-221b-41a9-8e08-dd5010b6c3e3,74a14ca1-4558-4514-b64d-a50ea4bdd34a,К 1166,LVSwitchGear,4
d9f30331-badd-4d5f-94cb-2a44177c5270,74a14ca1-4558-4514-b64d-a50ea4bdd34a,df1a1bc2-36f3-49f0-9d50-0d8cc803db27,,Link,4
f6efb72d-101c-4b51-a8c3-30e30230c019,df1a1bc2-36f3-49f0-9d50-0d8cc803db27,d32098c0-b615-4661-b3d7-a65399a5e4a8,,Link,4
c2263089-5a3a-427c-89ee-7d9cb7beeca1,d32098c0-b615-4661-b3d7-a65399a5e4a8,2cbff400-0cf2-4a4a-9c6d-61c2afbac8be,"пр-кт Науки, д. 67 литера А",ConsumerBuilding,4
483617d8-7bdf-4efe-92c4-761899e1e1b8,35ca9162-b0d7-4894-8f60-2768e897eb4e,a8350ec9-166b-4c9e-9646-b9852155fd1f,ТП 2199/2 - Р 630/А,ACLineSegment,4
c631cad5-b288-4092-89cb-81855418a37b,a8350ec9-166b-4c9e-9646-b9852155fd1f,abb51b65-b271-4e6c-96fe-b02601cc650c,,Link,4
def4d14f-53e6-44e7-a280-60b2ed82bb3f,abb51b65-b271-4e6c-96fe-b02601cc650c,c357f3b9-b2d9-41f9-80ac-4cab381c07fa,,Link,4
fc1dd1bc-14c0-4443-8e30-82a8353993dd,c357f3b9-b2d9-41f9-80ac-4cab381c07fa,9cb6e416-b2be-420e-9667-5ad584a4a2a2,Р 630,LVSwitchGear,4
9f46718b-8297-4814-8e07-8844aad034e7,9cb6e416-b2be-420e-9667-5ad584a4a2a2,bed46eca-a9c4-4ad1-8f3d-02ae29e0766a,,Link,4
60180dcc-e463-4c60-bcb7-ce775838837f,bed46eca-a9c4-4ad1-8f3d-02ae29e0766a,db4fa945-988c-4bf6-aabb-117799e5f469,,Link,4
747b1a7d-8a50-401c-a88b-852207d80a72,db4fa945-988c-4bf6-aabb-117799e5f469,48549d04-93e1-4502-adec-90d59ccfbf27,"ул Карпинского, д. 18 литера А",ConsumerBuilding,4
ca47d8b7-c7b2-4118-9cd9-3f18141c6194,abb51b65-b271-4e6c-96fe-b02601cc650c,2a08a684-f0bd-4bca-a495-d4c9e3368b64,,Link,4
da94ffae-b7a6-4049-b328-5820aa070591,2a08a684-f0bd-4bca-a495-d4c9e3368b64,4da48773-a726-4b8f-9aa8-03554e0a6073,Р 630 - К 1166,ACLineSegment,4
4b6394ea-0a40-46cc-8af1-32a9c3d347a6,4da48773-a726-4b8f-9aa8-03554e0a6073,e2cbf405-8e20-4166-bffe-ca33e9d9a8e1,,Link,4
